© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C5C2_vs_MPV_lfc
Workspace	My Projects
Project	KKH_SCpops_tagseq
Analysis	matched_F_C5C2_vs_MPV_lfc
Date	Mon Aug 10 09:12:32 PDT 2026
Analysis ID	43603416

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C5C2_vs_MPV_lfc
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	-0E00	1.889822365046136	1.15E-02	CD99,CLEC2B,COL17A1,HLA-B,IFITM1,ITGA2,ITGA3	
Integrin signaling	-0E00		3.70E-02	PTPN1	
Interconversion of nucleotide di- and triphosphates	-0E00		3.45E-02	CMPK1	
Ion channel transport	-0E00	-0.4472135954999579	2.73E-02	ANO1,ASPH,ATP1B3,FXYD3,RYR1	
Lipid Antigen Presentation by CD1	-0E00		2.41E-03	CALR	
Lung Ionic Balance Signaling Pathway	-0E00	2.0647416048350555	3.60E-02	ADRB2,ATP1B3,CPOX,F2RL1,FZD6,GPR153,IL1A,IL1B,LGR4,LPAR1,MAPK1,NTSR1,PLCB3,PLCD3,PLCE1,PPP2R1A,PPP2R2B,PRKACB,PTPA	
Lymphotoxin β Receptor Signaling	-0E00		3.64E-02	CXCL1,MAPK1	
MTOR signalling	-0E00		3.57E-02	FKBP1A	
Maturity Onset Diabetes of Young (MODY) Signaling	-0E00		2.56E-02	APPL1,GAPDH	
Meiotic recombination	-0E00		3.45E-02	H2AC20,H2BC9,RAD50	
Meiotic synapsis	-0E00		3.85E-02	H2AC20,H2BC9,LMNA	
Melatonin Degradation I	-0E00		3.53E-02	CYP1B1,CYP2S1,EXT2	
NF-κB Signaling	-0E00	2.8284271247461903	3.32E-02	FGFR1,HDAC1,IGF1R,IL18,IL1A,IL1B,KRAS,MAP4K4,MAPK8,NFKBIB,PRKACB,RRAS,RRAS2,TAB3,TGFA,TGFBR2,TNFAIP3,TNIP1,UBE2V1	
NFKBIE Signaling Pathway	-0E00		4.44E-03	ANKRD52,NFKBIB	
NUR77 Signaling in T Lymphocytes	-0E00	1.3416407864998738	1.54E-02	CALM2,CALML5,ESRRA,HDAC1,HLA-B,MAPK1,PPP3R1,RXRA	
Netrin-1 signaling	-0E00		2.27E-02	ABLIM1	
Neurovascular Coupling Signaling Pathway	-0E00	0.8164965809277261	3.40E-02	CALM2,CALML5,GJA1,ITPR2,MPRIP,PLCB3,PRKACB,RYR1	
Nicotine Degradation II	-0E00		3.53E-02	CYP1B1,CYP2S1,EXT2	
Nicotine Degradation III	-0E00		4.05E-02	CYP1B1,CYP2S1,EXT2	
Nonhomologous End-Joining (NHEJ)	-0E00		2.99E-02	H2BC9,RAD50	
Nucleotide Excision Repair Pathway	-0E00		2.70E-02	POLR2J2/POLR2J3	
O-linked glycosylation	-0E00		2.54E-02	B3GNT2,SEMA5A,THBS1	
OX40 Signaling Pathway	-0E00		8.30E-03	HLA-B,JUN,MAPK8,NFKBIB	
Olfactory Signaling Pathway	-0E00		1.35E-02	GNB1	
Oxytocin in Spinal Neurons Signaling Pathway	-0E00		2.86E-02	PLCB3	
PD-1, PD-L1 cancer immunotherapy pathway	-0E00		2.65E-02	HLA-B,PDCD4,SMAD3	
PI Metabolism	-0E00		3.57E-02	ARF1,INPP4B,SYNJ2	
