© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C2C4_vs_MPV_lfc
Workspace	My Projects
Project	KKH_SCpops_tagseq
Analysis	matched_F_C2C4_vs_MPV_lfc
Date	Mon Aug 10 09:12:32 PDT 2026
Analysis ID	43603414

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C2C4_vs_MPV_lfc
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Formation of Fibrin Clot (Clotting Cascade)	-0E00		2.56E-02	F3	
G Beta Gamma Signaling	-0E00		2.31E-02	GNB4,PAK1,PRKCA	
G Protein Signaling Mediated by Tubby	-0E00		6.38E-03	FYB1,GNB4,INSR	
G alpha (12/13) signalling events	-0E00		1.25E-02	GNB4	
G alpha (i) signalling events	-0E00	0.0	1.55E-02	APP,GAL,GNB4,PSAP	
G alpha (q) signalling events	-0E00	0.0	2.30E-02	APP,F2RL1,GNB4,NMB	
G alpha (s) signalling events	-0E00		6.90E-03	GNB4	
G-Protein Coupled Receptor Signaling	-0E00	1.0690449676496976	2.11E-02	ADGRG1,ATF4,CALML5,CAMK2G,CCND1,F2RL1,GNB4,GPR153,MAPK9,NFKBIA,PAK1,PPP3CA,PRKCA,PTK2,YAP1	
GABA Receptor Signaling	-0E00		1.49E-02	GNB4,UBC	
GABA receptor activation	-0E00		1.67E-02	GNB4	
GABAergic Receptor Signaling Pathway (Enhanced)	-0E00		1.43E-02	GLUD1,GNB4	
GDNF Family Ligand-Receptor Interactions	-0E00		1.32E-02	MAPK9	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00		1.59E-02	PLCD3,PRKCA	
Generic Transcription Pathway	-0E00		6.99E-03	NR2F6,TRIM28,ZNF551	
Germ Cell Differentiation Signaling Pathway	-0E00		8.33E-03	INHBB	
Glycosaminoglycan metabolism	-0E00		2.36E-02	B4GALT1,CHST12,GPC1	
Graft-versus-Host Disease Signaling	-0E00		4.44E-03	HLA-C,HLA-E	
Gαi Signaling	-0E00		6.85E-03	GNB4	
Gαs Signaling	-0E00		1.57E-02	ATF4,GNB4	
HEY1 Signaling Pathway	-0E00		2.48E-02	CDKN1A,MMP1,NELFB,TGFBR2	
HMGB1 Signaling	-0E00		1.87E-02	MAPK9,RBBP7,RHOD	
Heparan Sulfate Biosynthesis	-0E00		1.89E-02	CHST12,DPH7	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00		2.02E-02	CHST12,DPH7	
Human Embryonic Stem Cell Pluripotency	-0E00	-0.4472135954999579	2.50E-02	FGFR3,ID1,ID3,PRKCA,TGFBR2	
ICOS-ICOSL Signaling in T Helper Cells	-0E00		9.75E-03	BAD,CALML5,CAMK2G,NFKBIA,PPP3CA	
ID3 Signaling Pathway	-0E00	0.0	7.22E-03	ANAPC11,ANAPC15,CDKN1A,EGR1,ID3,LGALS1,SREBF1	
IL-12 Signaling and Production in Macrophages	-0E00	1.0	2.47E-02	CALML5,H3-3B,IRF3,PCYOX1,PRKCA,S100A8	
IL-13 Signaling Pathway	-0E00		1.61E-02	ANO1,FOSL2	
IL-17 Signaling	-0E00		5.29E-03	MAPK9	
IL-2 Signaling	-0E00		1.59E-02	CSNK2A1	
IL-23 Signaling Pathway	-0E00		2.17E-02	NFKBIA	
IL-4 Signaling	-0E00	-0.3779644730092272	1.22E-02	ANO1,ATF4,COL12A1,COL17A1,COL4A1,EIF4EBP1,TIMP3	
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	-0E00	-0.7071067811865475	1.32E-02	B2M,CD81,CD99,COL17A1,HLA-C,HLA-E,ITGB1,PVR	
Inositol phosphate metabolism	-0E00		2.08E-02	PLCD3	
Interleukin-7 signaling	-0E00		2.44E-02	H3-3B	
Irritable Bowel Syndrome Signaling Pathway	-0E00	0.0	1.38E-02	AHR,MMP1,RHOD,UBC	
JAK/STAT Signaling	-0E00		1.20E-02	CDKN1A	
Leptin Signaling in Obesity	-0E00		1.19E-02	PLCD3	
Lipid Antigen Presentation by CD1	-0E00	0.0	9.64E-03	B2M,CALR,CANX,PSAP	
Lung Ionic Balance Signaling Pathway	-0E00	0.7071067811865475	1.52E-02	ADGRG1,F2RL1,GPR153,MYH9,PLCD3,PPP2R1A,PRKCA,PTPA	
Lymphotoxin β Receptor Signaling	-0E00		1.82E-02	NFKBIA	
MYC Mediated Apoptosis Signaling	-0E00		2.00E-02	FADD	
Maturity Onset Diabetes of Young (MODY) Signaling	-0E00		2.56E-02	GAPDH,INSR	
Meiosis Initiation Signaling Pathway	-0E00		1.02E-02	SUN1	
Melanocyte Development and Pigmentation Signaling	-0E00		2.02E-02	ATF4,RPS6KA4	
Melatonin Degradation I	-0E00		1.18E-02	CYP1B1	
Molecular Mechanisms of Cancer	-0E00	0.4472135954999579	2.44E-02	ADGRG1,BAD,CAMK2G,CCND1,CDC25B,CDK4,CDKN1A,F2RL1,FADD,GNB4,GPR153,ID1,ITGB1,MAPK9,MMP1,NFKBIA,PAK1,PRKCA,PTK2,RHOD,TGFBR2	
Mouse Embryonic Stem Cell Pluripotency	-0E00		1.94E-02	ID1,ID3	
NF-κB Signaling	-0E00	-0.3779644730092272	1.22E-02	CSNK2A1,FADD,FGFR3,INSR,IRAK1,NFKBIA,TGFBR2	
NFKBIE Signaling Pathway	-0E00		4.44E-03	ANKRD52,NFKBIA	
NGF Signaling	-0E00		2.48E-02	ATF4,MAPK9,RPS6KA4	
NUR77 Signaling in T Lymphocytes	-0E00		1.35E-02	B2M,CALML5,HLA-C,HLA-E,PCNA,PPP3CA,PRKCA	
Neuregulin Signaling	-0E00		2.54E-02	BAD,ITGB1,PRKCA	
Neurexins and neuroligins	-0E00		1.75E-02	LIN7C	
Neuropeptides in Migraine Signaling Pathway	-0E00	0.0	2.26E-02	ATF4,CAMK2G,GNB4,PLCD3	
Neurotransmitter release cycle	-0E00		2.50E-02	LIN7C	
Neurotrophin/TRK Signaling	-0E00		1.28E-02	ATF4	
Neurovascular Coupling Signaling Pathway	-0E00		2.13E-02	APP,CALML5,PLAAT3,PNPLA2,PPP1CB	
Nicotine Degradation II	-0E00		1.18E-02	CYP1B1	
Nicotine Degradation III	-0E00		1.35E-02	CYP1B1	
Nitric Oxide Signaling in the Cardiovascular System	-0E00		2.50E-02	CALML5,PRKCA,SLC7A1	
OX40 Signaling Pathway	-0E00		1.04E-02	B2M,HLA-C,HLA-E,MAPK9,NFKBIA	
Orexin Signaling Pathway	-0E00	0.0	2.01E-02	ATP6V0C,CALML5,GNB4,PLCD3,PRKCA	
Ovarian Cancer Signaling	-0E00		1.26E-02	CCND1,CDK4	
Ovarian Folliculogenesis Signaling Pathway	-0E00	0.4472135954999579	2.13E-02	CDKN1A,FADD,INSR,MAPK9,YAP1	
Oxidative Ethanol Degradation III	-0E00		1.54E-02	ALDH1A3	
PEDF Signaling	-0E00		2.38E-02	NFKBIA,PNPLA2	
PFKFB4 Signaling Pathway	-0E00		2.04E-02	ATF4	
PI Metabolism	-0E00		1.19E-02	MTMR2	
PI3K Cascade	-0E00		2.27E-02	FGFR3	
PI3K Signaling in B Lymphocytes	-0E00	0.4472135954999579	1.17E-02	ATF4,CALML5,CAMK2G,CD81,NFKBIA,PLCD3,PPP3CA	
PKCθ Signaling in T Lymphocytes	-0E00		5.35E-03	CAMK2G,NFKBIA,PPP3CA	
PPAR Signaling	-0E00		1.85E-02	INSR,NFKBIA	
PXR/RXR Activation	-0E00		1.49E-02	INSR	
Pathogen Induced Cytokine Storm Signaling Pathway	-0E00	-1.1338934190276817	2.36E-02	CKLF,COL12A1,COL17A1,COL4A1,FADD,FTH1,FTL,IRF3,MAPK9	
Phagosome Formation	-0E00	-0.6324555320336759	1.70E-02	ADGRG1,CFL1,DIAPH1,F2RL1,GPR153,ITGB1,MYH9,PAK1,PLAAT3,PNPLA2,PRKCA,PTK2	
Phospholipase C Signaling	-0E00	-0.3779644730092272	7.99E-03	ATF4,CALML5,GNB4,ITGB1,PLCD3,PPP1CB,PPP3CA,PRKCA,RHOD	
Platelet homeostasis	-0E00		2.33E-02	GNB4,PPP2R1A	
Potassium Channels	-0E00		9.71E-03	GNB4	
Prolactin Signaling	-0E00		1.04E-02	PRKCA	
Puberty Induction Signaling Pathway	-0E00		2.38E-02	EED,SP3	
Pyrimidine Ribonucleotides Interconversion	-0E00		2.44E-02	NME4	
Pyroptosis Signaling Pathway	-0E00		9.80E-03	CASP4	
RET signaling	-0E00		2.44E-02	PRKCA	
RNA polymerase II transcribes snRNA genes	-0E00		2.41E-02	POLR2L,SSU72	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	1.0	1.07E-02	CALML5,MAPK9,NFKBIA,PPP3CA,TGFBR2	
Regulation of lipid metabolism by PPARalpha	-0E00		2.52E-02	AHR,SREBF1,TNFRSF21	
Regulation of the Epithelial-Mesenchymal Transition Pathway	-0E00		1.55E-02	EGR1,FGFR3,TGFBR2	
Relaxin Signaling	-0E00		1.29E-02	GNB4,NFKBIA	
Retinoic acid Mediated Apoptosis Signaling	-0E00		1.64E-02	FADD	
Retinol Biosynthesis	-0E00		1.85E-02	PNPLA2	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	-0E00		1.09E-02	IRF3	
Role of JAK2 in Hormone-like Cytokine Signaling	-0E00		1.54E-02	CCND1	
Role of NFAT in Regulation of the Immune Response	-0E00		4.77E-03	CALML5,CSNK1A1,GNB4,NFKBIA,PPP3CA	
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency	-0E00		2.17E-02	NR2F6	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	-0E00		1.67E-02	CSNK1A1,CTSB,CTSD,MMP1	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00		1.28E-02	CSNK1A1	
SAPK/JNK Signaling	-0E00		7.95E-03	FADD,GNB4,MAPK9,MINK1	
SLAMF Signaling Pathway	-0E00		2.05E-03	FYB1,MMP1	
Serotonin Degradation	-0E00		2.08E-02	ADH5,ALDH1A3	
Signaling by NOTCH1	-0E00		2.56E-02	TLE1,UBC	
Signaling by NTRK1 (TRKA)	-0E00		1.23E-02	PPP2R1A	
Signaling by PDGF	-0E00		1.72E-02	COL4A1	
Signaling by SCF-KIT	-0E00		2.33E-02	PRKCA	
Sphingolipid metabolism	-0E00		1.87E-02	ORMDL1,PSAP	
Superpathway of Melatonin Degradation	-0E00		1.10E-02	CYP1B1	
Systemic Lupus Erythematosus Signaling	-0E00		8.42E-03	HLA-C,HLA-E,HNRNPA2B1,HNRNPC,LSM6,LSM8,SNRPA,SNRPB2,SNRPG	
Systemic Lupus Erythematosus in B Cell Signaling Pathway	-0E00	-1.1338934190276817	1.10E-02	BAD,CALML5,CCND1,IRAK1,IRF3,MAVS,PPP3CA,PRKCA	
Systemic Lupus Erythematosus in T Cell Signaling Pathway	-0E00	-1.414213562373095	1.55E-02	ATF4,B2M,CASP4,HLA-C,HLA-E,PPP2R1A,PPP3CA,PTK2,PTPA,RHOD	
T Cell Exhaustion Signaling Pathway	-0E00		1.06E-02	HLA-C,HLA-E,MAPK9,PPP2R1A,PTPA,TGFBR2	
T Cell Receptor Signaling	-0E00	-0.8164965809277261	1.29E-02	B2M,CALML5,FYB1,HLA-C,HLA-E,ITGB1,NFKBIA,PPP3CA	
T Helper Cell Differentiation	-0E00		2.11E-03	TGFBR2	
TEC Kinase Signaling	-0E00	0.0	1.55E-02	FADD,GNB4,ITGB1,MAPK9,PAK1,PRKCA,PTK2,RHOD,TNFRSF21	
TREM1 Signaling	-0E00		2.53E-02	IRAK1,ITGB1	
Th1 and Th2 Activation Pathway	-0E00		5.68E-03	TGFBR2	
Th17 Activation Pathway	-0E00		4.07E-03	AHR,IRAK1	
Th2 Pathway	-0E00		7.09E-03	TGFBR2	
Thrombopoietin Signaling	-0E00		1.56E-02	PRKCA	
Thyroid Cancer Signaling	-0E00		2.56E-02	CCND1,INSR	
Transcriptional Regulatory Network in Embryonic Stem Cells	-0E00		1.83E-02	CALB1,FGFR3,TGFBR2	
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	-0E00		1.96E-02	UBC	
Transport of bile salts and organic acids, metal ions and amine compounds	-0E00		2.38E-02	BSG,SLC39A4	
Transport of vitamins, nucleosides, and related molecules	-0E00		2.33E-02	SLC25A5	
Tuberculosis Active Signaling Pathway	-0E00	-0.8164965809277261	2.45E-02	ATP6V0C,BAD,H3-3B,IRF3,MAPK9,PPP3CA	
Tuberculosis Latent Signaling Pathway	-0E00		1.11E-02	GLUD1	
Type I Diabetes Mellitus Signaling	-0E00	1.0	1.17E-02	FADD,HLA-C,HLA-E,IRAK1,MAPK9,NFKBIA	
VEGF Family Ligand-Receptor Interactions	-0E00		1.16E-02	PRKCA	
White Adipose Tissue Browning Pathway	-0E00		1.38E-02	ATF4,FGFR3	
XBP1(S) activates chaperone genes	-0E00		2.08E-02	EDEM1	
Zn Homeostasis Signaling Pathway	-0E00	1.9414506867883021	1.20E-02	ADGRG1,APP,ATF4,EGR1,F2RL1,GPR153,INSR,MMP1,MT1E,MT2A,PPP3CA,PRKCA,SLC39A4	
cAMP-mediated signaling	-0E00		1.67E-02	ATF4,CALML5,CAMK2G,PPP3CA	
nNOS Signaling in Skeletal Muscle Cells	-0E00		2.00E-02	CALML5	
p70S6K Signaling	-0E00	1.1338934190276817	1.53E-02	BAD,EEF2,F2RL1,PLCD3,PPP2R1A,PRKCA,PTPA,SFN,YWHAZ	
MIF-mediated Glucocorticoid Regulation	2E-01		2.63E-02	NFKBIA	
tRNA Charging	2E-01		2.63E-02	YARS1	
Fatty acyl-CoA biosynthesis	2.07E-01		2.70E-02	FASN	
Signaling by NOTCH2	2.14E-01		2.78E-02	UBC	
Superpathway of Methionine Degradation	2.14E-01		2.78E-02	PRMT5	
Coagulation System	2.21E-01		2.86E-02	F3	
Ubiquinol-10 Biosynthesis (Eukaryotic)	2.21E-01		2.86E-02	CYP1B1	
Antiproliferative Role of Somatostatin Receptor 2	2.25E-01		2.60E-02	CDKN1A,GNB4	
Activation of Matrix Metalloproteinases	2.37E-01		3.03E-02	MMP1	
Signal amplification	2.37E-01		3.03E-02	GNB4	
TNFR2 Signaling	2.37E-01		3.03E-02	NFKBIA	
Stearate Biosynthesis I (Animals)	2.41E-01		2.70E-02	DHCR24,FASN	
Androgen Biosynthesis	2.46E-01		3.12E-02	AKR1C2	
Thrombin signalling through proteinase activated receptors (PARs)	2.46E-01		3.12E-02	GNB4	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2.47E-01	0.0	2.60E-02	IRF3,MAPK9,MAVS,PRKCA	
SWI/SNF chromatin remodelers	2.54E-01		3.23E-02	SMARCD2	
Signaling by CSF1 (M-CSF) in myeloid cells	2.54E-01		3.23E-02	UBC	
Sonic Hedgehog Signaling	2.54E-01		3.23E-02	CDK1	
Acute Phase Response Signaling	2.58E-01	0.0	2.62E-02	FTL,IRAK1,MAPK9,NFKBIA,NOLC1	
High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells	2.58E-01		2.82E-02	CAPN2,GNB4	
Bone Mineralization Signaling Pathway	2.59E-01	1.0	2.65E-02	CALB1,FGFR3,PLCD3,SLC20A1	
Dilated Cardiomyopathy Signaling Pathway	2.59E-01	1.0	2.65E-02	BAD,CAMK2G,MYH9,TPM1	
Phase II - Conjugation of compounds	2.59E-01		2.70E-02	COMT,MGST1,MGST3	
Activation of kainate receptors upon glutamate binding	2.64E-01		3.33E-02	GNB4	
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	2.64E-01		3.33E-02	SREBF1	
Histidine Degradation VI	2.64E-01		3.33E-02	CYP1B1	
Superpathway of Cholesterol Biosynthesis	2.64E-01		3.33E-02	DHCR24	
mRNA Capping	2.64E-01		3.33E-02	POLR2L	
Autism Signaling Pathway	2.66E-01	0.3779644730092272	2.61E-02	ALDH1A3,B2M,BCYRN1,CAMK2G,EIF4EBP1,HLA-C,HLA-E,SLC6A8	
Semaphorin Neuronal Repulsive Signaling Pathway	2.67E-01	0.0	2.68E-02	CFL1,ITGB1,PAK1,PPP1CB	
Macroautophagy	2.71E-01		2.90E-02	ATG9A,CHMP2A	
Interconversion of nucleotide di- and triphosphates	2.74E-01		3.45E-02	NME4	
Nicotinate metabolism	2.74E-01		3.45E-02	NAPRT	
Peroxisomal lipid metabolism	2.74E-01		3.45E-02	ECI2	
Neuropathic Pain Signaling in Dorsal Horn Neurons	2.74E-01		2.78E-02	CAMK2G,PLCD3,PRKCA	
Telomerase Signaling	2.74E-01		2.78E-02	CDKN1A,PPP2R1A,PTPA	
Glutamate Receptor Signaling	2.77E-01		2.94E-02	CALML5,GNB4	
IL-17A Signaling in Airway Cells	2.77E-01		2.94E-02	MAPK9,NFKBIA	
Vitamin K Signaling Pathway	2.77E-01		2.94E-02	CALU,MAVS	
Apelin Cardiomyocyte Signaling Pathway	2.79E-01		2.80E-02	MAPK9,PLCD3,PRKCA	
Abacavir ADME	2.84E-01		2.99E-02	NME4,STK17A	
CD40 Signaling	2.84E-01		2.99E-02	MAPK9,NFKBIA	
ERBB4 Signaling	2.84E-01		2.99E-02	PRKCA,YAP1	
Ribavirin ADME	2.84E-01		2.99E-02	NME4,STK17A	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	2.84E-01		2.99E-02	IRF3,NFKBIA	
SPINK1 General Cancer Pathway	2.84E-01		2.99E-02	MT1E,MT2A	
MTOR signalling	2.84E-01		3.57E-02	EIF4EBP1	
Sulfur amino acid metabolism	2.84E-01		3.57E-02	ADI1	
Apelin Endothelial Signaling Pathway	2.85E-01		2.76E-02	CALML5,GNB4,MAPK9,PRKCA	
Iron homeostasis signaling pathway	2.89E-01		2.78E-02	ATP6V0C,EPAS1,FTH1,FTL	
ZFX in Tumorigenesis Signaling Pathway	2.9E-01		3.03E-02	CCND1,YAP1	
Integrin signaling	2.95E-01		3.70E-02	PTK2	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	2.95E-01		3.70E-02	PTPN2	
Multiple Sclerosis Signaling Pathway	3E-01	2.23606797749979	2.74E-02	CAPN2,EED,FADD,HLA-C,HLA-E,RBBP7	
Tumor Microenvironment Pathway	3.01E-01		2.78E-02	BAD,CCND1,HLA-C,HLA-E,MMP1	
P2Y Purinergic Receptor Signaling Pathway	3.03E-01		2.84E-02	ATF4,GNB4,PLCD3,PRKCA	
ERB2-ERBB3 Signaling	3.05E-01		3.12E-02	BAD,CCND1	
Mitochondrial biogenesis	3.05E-01		3.12E-02	GLUD1,TFAM	
Peroxisomal protein import	3.05E-01		3.12E-02	ECI2,UBC	
Triacylglycerol Degradation	3.05E-01		3.12E-02	DPH7,PNPLA2	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	3.06E-01		3.85E-02	PLCD3	
Ethanol Degradation IV	3.06E-01		3.85E-02	ALDH1A3	
Fertilization	3.06E-01		3.85E-02	B4GALT1	
IL-17A Signaling in Gastric Cells	3.06E-01		3.85E-02	MAPK9	
