© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->KKH_SCpops_tagseq->MDA-MB-231_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:58 AM->matched_F_C1C4_vs_MPV_lfc
Workspace	My Projects
Project	KKH_SCpops_tagseq
Analysis	matched_F_C1C4_vs_MPV_lfc
Date	Mon Aug 10 09:59:06 PDT 2026
Analysis ID	43603594

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->KKH_SCpops_tagseq->MDA-MB-231_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:58 AM->matched_F_C1C4_vs_MPV_lfc
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
BBSome Signaling Pathway	-0E00	0.9045340337332909	2.44E-02	ADGRF1,ARRB2,CCRL2,CCT5,CCT6A,CMKLR2,F2RL1,FZD4,GPR137,GPRC5A,STX3,VIPR1	
Binding and Uptake of Ligands by Scavenger Receptors	-0E00		8.40E-03	APOL1	
Bone Mineralization Signaling Pathway	-0E00		1.99E-02	FZD4,GNA11,SLC20A1	
CCR5 Signaling in Macrophages	-0E00		1.39E-02	CALM2,CALM3,CATSPER1,GNA11,GNB1L,GNB2,ITPR3	
CD28 Signaling in T Helper Cells	-0E00	1.1338934190276817	2.10E-02	ARPC1B,ARPC4,CALM2,CALM3,CSK,HLA-DMA,IKBKG,ITPR3,NFATC2,NFKBIE,PPP3CA	
CDC42 Signaling	-0E00	1.8973665961010275	2.58E-02	ARPC1B,ARPC4,CFL1,CFL2,FGD1,HLA-DMA,HLA-E,IQGAP3,MAP3K11,MYL12A,MYL9,MYLK,PARD6B,PPP1CA,PPP1CB	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	-0.3779644730092272	1.31E-02	AHR,AP2A1,AP2S1,HLA-DMA,HLA-E,HRAS,NFATC2,RRAS	
Calcium-induced T Lymphocyte Apoptosis	-0E00	0.4472135954999579	1.50E-02	ATP2A2,CALM2,CALM3,HLA-DMA,ITPR3,NFATC2,PPP3CA	
Cardiac conduction	-0E00		2.31E-02	ATP1B3,ATP2A2,ITPR3	
Chromatin modifications during the maternal to zygotic transition (MZT)	-0E00		1.45E-02	UNG	
Chromatin modifying enzymes	-0E00	-1.1338934190276817	2.58E-02	CLOCK,GPS2,KDM1A,NSD2,REST,SETD7,SUZ12	
Class A/1 (Rhodopsin-like receptors)	-0E00	0.0	1.20E-02	ANXA1,CCRL2,F2RL1,NMU	
Collagen degradation	-0E00		1.56E-02	CTSD	
Communication between Innate and Adaptive Immune Cells	-0E00		1.06E-03	HLA-E	
Complement cascade	-0E00		7.19E-03	CD81	
Crosstalk between Dendritic Cells and Natural Killer Cells	-0E00		2.04E-02	HLA-E,MICA	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00		2.34E-03	HLA-E	
DAG and IP3 signaling	-0E00		2.44E-02	ITPR3	
DNA Damage/Telomere Stress Induced Senescence	-0E00		2.56E-02	HMGA1,TP53	
Dendritic Cell Maturation	-0E00	1.889822365046136	1.30E-02	ATF4,CREB3,HLA-DMA,HLA-E,ICAM1,IKBKG,IL32,NFKBIE	
Exocyst Signaling Pathway	-0E00	2.4494897427831783	1.08E-02	ARPC1B,ARPC4,GPAA1,IRF3,MYO5A,PARD6B	
FAK Signaling	-0E00	1.5275252316519468	2.03E-02	ADGRF1,ARPC1B,ARPC4,BAD,CCRL2,CMKLR2,CSK,ECM1,ETV4,F2RL1,FZD4,GPR137,GPRC5A,HRAS,MYC,PXN,RRAS,SOCS2,SP1,TP53,VIPR1	
Fc Epsilon RI Signaling	-0E00		2.50E-02	HRAS,PLA2G12A,RRAS	
FcγRIIB Signaling in B Lymphocytes	-0E00		7.50E-03	CATSPER1,HRAS,ITPR3,RRAS	
G Protein Signaling Mediated by Tubby	-0E00	1.0	8.51E-03	GNA11,GNB1L,GNB2,MYC	
G alpha (i) signalling events	-0E00		1.16E-02	ANXA1,GNB2,NMU	
G alpha (z) signalling events	-0E00		2.08E-02	GNB2	
GABA receptor activation	-0E00		1.67E-02	GNB2	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00		2.38E-02	CATSPER1,GNA11,ITPR3	
GPER1 signaling	-0E00		9.71E-03	GNB2	
Gene Silencing by RNA	-0E00		2.16E-02	POLR2B,POLR2L,RAN	
Generic Transcription Pathway	-0E00	1.0	9.32E-03	ESRRA,NR2F6,RBPJ,ZNF611	
Graft-versus-Host Disease Signaling	-0E00		4.44E-03	HLA-DMA,HLA-E	
Granulocyte Adhesion and Diapedesis	-0E00		1.95E-02	CCRL2,ICAM1,ICAM2,SDC4	
Gustation Pathway	-0E00		1.43E-02	CATSPER1,ITPR3,LIPA	
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	-0E00		2.27E-02	NSD2,RFC1,XRCC3	
Hematopoiesis from Pluripotent Stem Cells	-0E00		2.22E-03	CSF1	
Heme signaling	-0E00		2.04E-02	CLOCK	
ICOS-ICOSL Signaling in T Helper Cells	-0E00	0.8164965809277261	1.95E-02	BAD,CALM2,CALM3,CSK,HLA-DMA,IKBKG,ITPR3,NFATC2,NFKBIE,PPP3CA	
ID3 Signaling Pathway	-0E00	1.0	9.28E-03	BMP4,CDC26,CLOCK,HRAS,ID3,MYC,NCF2,RRAS,VEGFA	
IL-13 Signaling Pathway	-0E00		1.61E-02	HBEGF,TP53	
IL-15 Production	-0E00		2.46E-02	CSK,IRF3,MAP3K11	
IL-15 Signaling	-0E00	1.0	7.59E-03	GNB1L,HRAS,MYC,RRAS	
IL-4 Signaling	-0E00	1.2649110640673518	1.74E-02	ATF4,CREB3,EIF4EBP1,GNB1L,HLA-DMA,HRAS,IRS2,NFATC2,RRAS,TIMP3	
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	-0E00	1.6329931618554523	9.88E-03	CD81,CLEC2D,HLA-E,ICAM1,ICAM2,MICA	
Inositol phosphate metabolism	-0E00		2.08E-02	INPP4B	
Keratinization	-0E00		1.39E-02	FLG,KRT7,KRT8	
Leptin Signaling in Obesity	-0E00		1.19E-02	FOXO1	
Leukocyte Extravasation Signaling	-0E00	-0.4472135954999579	2.58E-02	F11R,ICAM1,NCF2,PXN,TIMP3	
Lipid Antigen Presentation by CD1	-0E00		4.82E-03	AP2A1,AP2S1	
Lung Ionic Balance Signaling Pathway	-0E00	2.1105794120443453	2.08E-02	ADGRF1,ATP1B3,CCRL2,CMKLR2,CPOX,F2RL1,FZD4,GPR137,GPRC5A,VDAC1,VIPR1	
MSP-RON Signaling Pathway	-0E00		1.61E-02	CSF1	
Maturity Onset Diabetes of Young (MODY) Signaling	-0E00		2.56E-02	APOL1,APOL6	
Meiosis Initiation Signaling Pathway	-0E00		2.04E-02	SKP1,TFDP1	
Meiotic synapsis	-0E00		1.28E-02	LMNA	
Melatonin Degradation I	-0E00		2.35E-02	B3GAT3,CYP2U1	
Melatonin Signaling	-0E00		2.47E-02	CALM2,CALM3	
Mitotic Prophase	-0E00		2.13E-02	LMNA,RAB1A,SET	
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	-0E00		2.38E-02	IKBKG	
NCAM signaling for neurite out-growth	-0E00		1.59E-02	HRAS	
NF-κB Signaling	-0E00	0.8164965809277261	1.05E-02	BMP4,HRAS,IKBKG,NFKBIE,RRAS,TRAF2	
NFKBIE Signaling Pathway	-0E00		6.67E-03	IKBKG,NFKBIE,TRAF2	
NUR77 Signaling in T Lymphocytes	-0E00		1.16E-02	CALM2,CALM3,ESRRA,HLA-DMA,HLA-E,PPP3CA	
Netrin-1 signaling	-0E00		2.27E-02	RGMB	
Neuropathic Pain Signaling in Dorsal Horn Neurons	-0E00		1.85E-02	GRINA,ITPR3	
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00		2.24E-02	DPP7,HLA-E,TPP1	
Nicotine Degradation II	-0E00		2.35E-02	B3GAT3,CYP2U1	
Nonhomologous End-Joining (NHEJ)	-0E00		1.49E-02	NSD2	
OX40 Signaling Pathway	-0E00		8.30E-03	HLA-DMA,HLA-E,NFKBIE,TRAF2	
PCP (Planar Cell Polarity) Pathway	-0E00		1.67E-02	FZD4	
PI Metabolism	-0E00		1.19E-02	INPP4B	
PI3K Cascade	-0E00		2.27E-02	IRS2	
PI3K Signaling in B Lymphocytes	-0E00	1.414213562373095	2.00E-02	ATF4,CALM2,CALM3,CD81,HRAS,IKBKG,IRS2,ITPR3,NFATC2,NFKBIE,PPP3CA,RRAS	
PKCθ Signaling in T Lymphocytes	-0E00	2.1213203435596424	1.78E-02	CATSPER1,HLA-DMA,HRAS,IKBKG,ITPR3,MAP3K11,NFATC2,NFKBIE,PPP3CA,RRAS	
PRC2 methylates histones and DNA	-0E00		1.39E-02	SUZ12	
Phospholipase C Signaling	-0E00	1.2649110640673518	1.51E-02	ARHGEF1,ATF4,CALM2,CALM3,CREB3,GNB1L,GNB2,HRAS,ITPR3,MYL12A,MYL9,NFATC2,PLA2G12A,PPP1CA,PPP1CB,PPP3CA,RRAS	
Potassium Channels	-0E00		9.71E-03	GNB2	
Pyroptosis Signaling Pathway	-0E00		9.80E-03	PYCARD	
RET signaling	-0E00		2.44E-02	IRS2	
RUNX1 regulates megakaryocyte differentiation and platelet function	-0E00		2.11E-02	MYL9,THBS1	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	1.6329931618554523	1.71E-02	CALM2,CALM3,HRAS,IKBKG,NFATC2,NFKBIE,PPP3CA,RRAS	
Regulation of endogenous retroelements	-0E00		7.09E-03	CBX5	
Regulation of the Epithelial Mesenchymal Transition in Development Pathway	-0E00		2.33E-02	FZD4,RBPJ	
Regulation of the Epithelial-Mesenchymal Transition Pathway	-0E00		2.58E-02	FZD4,HRAS,PARD6B,RBPJ,RRAS	
Renin-Angiotensin Signaling	-0E00		2.46E-02	HRAS,ITPR3,RRAS	
Retinoate Biosynthesis I	-0E00		2.04E-02	AKR1C3	
Role of BRCA1 in DNA Damage Response	-0E00		2.50E-02	RFC1,TP53	
Role of Cytokines in Mediating Communication between Immune Cells	-0E00		1.82E-02	IL32	
Role of IL-17A in Arthritis	-0E00		1.72E-02	NFKBIE	
Role of NFAT in Regulation of the Immune Response	-0E00	1.414213562373095	1.34E-02	CALM2,CALM3,CSNK1A1,GNA11,GNB1L,GNB2,HLA-DMA,HRAS,IKBKG,ITPR3,NFATC2,NFKBIE,PPP3CA,RRAS	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00		2.56E-02	CSNK1A1,FZD4	
S-Adenosylmethionine Regulatory Signaling Pathway	-0E00		1.10E-02	GNB1L	
SAPK/JNK Signaling	-0E00	1.3416407864998738	1.39E-02	GNB1L,GNB2,HRAS,MAP3K11,RRAS,TP53,TRAF2	
SLAMF Signaling Pathway	-0E00	2.1213203435596424	8.20E-03	AP2A1,AP2S1,CD74,HRAS,NFATC2,RRAS,TP53,TRAF2	
SUMOylation of DNA replication proteins	-0E00		2.17E-02	AURKB	
SUMOylation of transcription cofactors	-0E00		2.22E-02	NPM1	
Sensory perception of taste	-0E00		2.13E-02	ITPR3	
Signaling by FGFR3	-0E00		2.50E-02	HRAS	
Signaling by FGFR4	-0E00		2.44E-02	HRAS	
Signaling by NOTCH3	-0E00		2.00E-02	RBPJ	
Signaling by Retinoic Acid	-0E00		2.27E-02	AKR1C3	
Signaling by SCF-KIT	-0E00		2.33E-02	HRAS	
Sphingosine-1-phosphate Signaling	-0E00		1.60E-02	ASAH1,PDGFC	
Superpathway of Melatonin Degradation	-0E00		2.20E-02	B3GAT3,CYP2U1	
Systemic Lupus Erythematosus Signaling	-0E00		1.12E-02	HLA-E,HNRNPA2B1,HRAS,LSM6,NFATC2,PRP4K,PRPF38B,PRPF40A,RRAS,SNRPD3,SNRPF,ZMAT5	
Systemic Lupus Erythematosus in T Cell Signaling Pathway	-0E00	-0.3333333333333333	1.55E-02	ATF4,CREB3,GNB1L,HLA-DMA,HLA-E,HRAS,NFATC2,PPP3CA,RRAS,SP1	
T Cell Exhaustion Signaling Pathway	-0E00		1.23E-02	FOXO1,HLA-DMA,HLA-E,HRAS,NFATC2,RRAS,VEGFA	
T Cell Receptor Signaling	-0E00	1.6666666666666667	2.09E-02	CALM2,CALM3,CSK,GNB1L,HLA-DMA,HLA-E,HRAS,ICAM1,IKBKG,NFATC2,NFKBIE,PPP3CA,RRAS	
T Helper Cell Differentiation	-0E00		4.21E-03	HLA-DMA,IFNGR1	
TEC Kinase Signaling	-0E00		5.18E-03	GNA11,GNB1L,GNB2	
TREM1 Signaling	-0E00		1.27E-02	ICAM1	
TRIM21 Intracellular Antibody Signaling Pathway	-0E00	0.30151134457776363	1.93E-02	IFI35,IFNGR1,IKBKG,IRF3,PSMA7,PSMB6,PSMB9,PSMC3,PSME1,RIGI,TP53	
Th1 and Th2 Activation Pathway	-0E00		2.27E-02	HLA-DMA,ICAM1,IFNGR1,NFATC2	
Th17 Activation Pathway	-0E00		6.11E-03	AHR,HSP90AB1,NFATC2	
Th2 Pathway	-0E00		2.13E-02	HLA-DMA,ICAM1,NFATC2	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	-0E00		1.59E-02	B3GAT3	
Transcriptional regulation of granulopoiesis	-0E00		2.27E-02	MYC,TFDP1	
Transport of bile salts and organic acids, metal ions and amine compounds	-0E00		1.19E-02	BSG	
Type I Diabetes Mellitus Signaling	-0E00	0.4472135954999579	1.36E-02	HLA-DMA,HLA-E,IFNGR1,IKBKG,NFKBIE,SOCS2,TRAF2	
Vasopressin regulates renal water homeostasis via Aquaporins	-0E00		2.33E-02	GNB2	
WNT/β-catenin Signaling	-0E00	0.0	2.31E-02	CSNK1A1,FZD4,MYC,TP53	
Zn Homeostasis Signaling Pathway	-0E00	2.1320071635561044	2.12E-02	ADGRF1,ANXA1,ATF4,BMP4,CCRL2,CMKLR2,CREB3,F2RL1,FZD4,GNA11,GPR137,GPRC5A,GRINA,HLA-DMA,IKBKG,ITPR3,MT1E,MT2A,NCF2,NFATC2,PPP3CA,TP53,VIPR1	
cAMP-mediated signaling	-0E00	0.0	2.50E-02	ATF4,CALM2,CALM3,CREB3,PPP3CA,VIPR1	
p70S6K Signaling	-0E00	1.0	6.80E-03	BAD,F2RL1,HRAS,RRAS	
tRNA processing in the mitochondrion	-0E00		2.44E-02	MT-TS2	
Inhibition of Matrix Metalloproteases	2E-01		2.63E-02	TIMP3	
Notch Signaling	2E-01		2.63E-02	RBPJ	
Regulation of TP53 Expression and Degradation	2E-01		2.63E-02	TP53	
tRNA Charging	2E-01		2.63E-02	LARS1	
Expression of BMAL (ARNTL), CLOCK, and NPAS2	2.14E-01		2.78E-02	CLOCK	
Signaling by NOTCH2	2.14E-01		2.78E-02	RBPJ	
Late endosomal microautophagy	2.22E-01		2.86E-02	PLIN2	
Oxytocin in Spinal Neurons Signaling Pathway	2.22E-01		2.86E-02	GNA11	
Ubiquinol-10 Biosynthesis (Eukaryotic)	2.22E-01		2.86E-02	COQ2	
Toll-like Receptor Signaling	2.25E-01		2.60E-02	IKBKG,TRAF1	
Airway Inflammation in Asthma	2.38E-01		3.03E-02	IFNGR1	
Cardiac Conduction Signaling Pathway	2.41E-01		2.61E-02	BMP4,HRAS,RRAS	
Nicotine Degradation III	2.42E-01		2.70E-02	B3GAT3,CYP2U1	
Endosomal Sorting Complex Required For Transport (ESCRT)	2.46E-01		3.12E-02	CHMP5	
G-protein beta:gamma signalling	2.46E-01		3.12E-02	GNB2	
Surfactant metabolism	2.46E-01		3.12E-02	CTSH	
rRNA processing	2.46E-01		3.12E-02	MT-TS2	
Growth Hormone Signaling	2.47E-01		2.74E-02	RPS6KA4,SOCS2	
SUMOylation of chromatin organization proteins	2.47E-01		2.74E-02	CBX5,SUZ12	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2.47E-01		2.60E-02	IFIH1,IRF3,OAS2,RIGI	
Dopamine Receptor Signaling	2.53E-01		2.78E-02	PPP1CA,PPP1CB	
MyD88 dependent cascade initiated on endosome	2.55E-01		3.23E-02	IKBKG	
Signaling by ALK	2.55E-01		3.23E-02	MYC	
Signaling by CSF1 (M-CSF) in myeloid cells	2.55E-01		3.23E-02	CSF1	
Sonic Hedgehog Signaling	2.55E-01		3.23E-02	ARRB2	
High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells	2.59E-01		2.82E-02	GNA11,GNB2	
Nucleosome assembly	2.59E-01		2.82E-02	NPM1,SMARCA5	
RNA Polymerase I Transcription	2.6E-01		2.70E-02	CCNH,POLR1D,POLR2L	
Activation of kainate receptors upon glutamate binding	2.64E-01		3.33E-02	GNB2	
Co-inhibition by PD-1	2.64E-01		3.33E-02	CSK	
Regulation of CDH11 Expression and Function	2.64E-01		3.33E-02	SP1	
Regulation of TP53 Activity through Acetylation	2.64E-01		3.33E-02	TP53	
Macroautophagy	2.71E-01		2.90E-02	LAMTOR2,RRAGD	
Peroxisomal lipid metabolism	2.74E-01		3.45E-02	ALDH3A2	
Response of EIF2AK1 (HRI) to heme deficiency	2.74E-01		3.45E-02	ATF4	
Integration of energy metabolism	2.75E-01		2.78E-02	GNA11,GNB2,ITPR3	
IL-17A Signaling in Airway Cells	2.78E-01		2.94E-02	IKBKG,NFKBIE	
Vitamin K Signaling Pathway	2.78E-01		2.94E-02	BMP4,GDF15	
Collagen biosynthesis and modifying enzymes	2.84E-01		2.99E-02	P4HB,PLOD3	
ERBB4 Signaling	2.84E-01		2.99E-02	HRAS,RRAS	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	2.84E-01		2.99E-02	IRF3,NFKBIE	
G alpha (s) signalling events	2.86E-01	2.0	2.76E-02	ARRB2,GNB2,RAMP1,VIPR1	
Ion channel transport	2.9E-01	-0.4472135954999579	2.73E-02	ATP1B3,ATP2A2,ATP6AP1,ATP6V0D1,CLCN3	
Chondroitin Sulfate Biosynthesis (Late Stages)	2.91E-01		3.03E-02	CHST15,HS6ST1	
Protein Sorting Signaling Pathway	2.94E-01	1.0	2.75E-02	AP3S1,GBA1,SNX21,SNX8,TMED2	
Integrin signaling	2.95E-01		3.70E-02	CSK	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	2.95E-01		3.70E-02	IFNGR1	
The Visual Cycle	2.95E-01		3.70E-02	AKR1C3	
Activated PKN1 stimulates transcription of AR regulated genes KLK2 and KLK3	2.98E-01		3.08E-02	KDM1A,PKN1	
RAB geranylgeranylation	2.98E-01		3.08E-02	RAB1A,RAB31	
SPINK1 Pancreatic Cancer Pathway	2.98E-01		3.08E-02	CTSA,F2RL1	
Tight Junction Signaling	2.98E-01		2.76E-02	F11R,GPAA1,MYL9,MYLK,NECTIN1	
BMAL1:CLOCK,NPAS2 activates circadian expression	3.06E-01		3.85E-02	CLOCK	
Cardiomyocyte Differentiation via BMP Receptors	3.06E-01		3.85E-02	BMP4	
Fertilization	3.06E-01		3.85E-02	CATSPER1	
Miscellaneous transport and binding events	3.06E-01		3.85E-02	NIPA2	
Dermatan Sulfate Biosynthesis (Late Stages)	3.13E-01		3.17E-02	CHST15,HS6ST1	
IL-2 Signaling	3.13E-01		3.17E-02	HRAS,RRAS	
Primary Immunodeficiency Signaling	3.13E-01		3.17E-02	IKBKG,UNG	
Transcriptional Regulation by MECP2	3.13E-01		3.17E-02	AURKB,GPS2	
Triacylglycerol Biosynthesis	3.13E-01		3.17E-02	AGPAT2,GPAT3	
Neuropeptides in Migraine Signaling Pathway	3.15E-01	0.4472135954999579	2.82E-02	ATF4,CREB3,GNB2,RAMP1,VIPR1	
Bupropion Degradation	3.18E-01		4.00E-02	CYP2U1	
Metabolism of cofactors	3.18E-01		4.00E-02	COQ2	
Mitochondrial RNA degradation	3.18E-01		4.00E-02	GRSF1	
MyD88 cascade initiated on plasma membrane	3.18E-01		4.00E-02	IKBKG	
Signaling by NTRK2 (TRKB)	3.18E-01		4.00E-02	HRAS	
Heparan Sulfate Biosynthesis (Late Stages)	3.25E-01		3.03E-02	CHST15,HS6ST1,LARS1	
G alpha (q) signalling events	3.29E-01	0.4472135954999579	2.87E-02	ANXA1,F2RL1,GNA11,GNB2,NMU	
Inflammasome pathway	3.31E-01		4.17E-02	PYCARD	
RHO GTPases Activate NADPH Oxidases	3.31E-01		4.17E-02	NCF2	
Regulation of RUNX1 Expression and Activity	3.31E-01		4.17E-02	CDK6	
Metabolism of non-coding RNA	3.36E-01		3.33E-02	SNRPD3,SNRPF	
Visual phototransduction	3.36E-01		3.33E-02	METAP1,NMT2	
Signaling by ERBB4	3.44E-01		3.39E-02	HBEGF,HRAS	
Apelin Cardiac Fibroblast Signaling Pathway	3.44E-01		4.35E-02	CCN2	
Azathioprine ADME	3.44E-01		4.35E-02	SLC29A2	
Tryptophan Degradation III (Eukaryotic)	3.44E-01		4.35E-02	HADH	
RAR Activation	3.5E-01	-0.9045340337332909	2.76E-02	AKR1C3,ATF4,CCNH,CREB3,CSK,F11R,GNA11,NR2F6,PRMT2,RPL7A,SP1,VEGFA	
Role of CHK Proteins in Cell Cycle Checkpoint Control	3.52E-01		3.45E-02	RFC1,TP53	
HGF Signaling	3.57E-01	1.0	3.05E-02	HRAS,MAP3K11,PXN,RRAS	
Cellular hexose transport	3.59E-01		4.55E-02	SLC2A6	
Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	3.59E-01		4.55E-02	ALDH3A2	
Phosphorylated BMAL1:CLOCK (ARNTL:CLOCK) activates expression of core clock genes	3.59E-01		4.55E-02	CLOCK	
Neurexins and neuroligins	3.61E-01		3.51E-02	HOMER1,PDLIM5	
Regulation of TP53 Activity through Phosphorylation	3.64E-01		3.23E-02	AURKB,TP53,TPX2	
EGF Signaling	3.7E-01		3.57E-02	HRAS,ITPR3	
HOTAIR Regulatory Pathway	3.73E-01	-0.4472135954999579	3.03E-02	ICAM1,KDM1A,MYC,REST,SUZ12	
Formation of the ureteric bud	3.74E-01		4.76E-02	BMP4	
Glucocorticoid Biosynthesis	3.74E-01		4.76E-02	EBP	
GP6 Signaling Pathway	3.74E-01		3.12E-02	CALM2,CALM3,LAMA5,LAMB3	
Systemic Lupus Erythematosus in B Cell Signaling Pathway	3.75E-01	1.697749375254331	2.75E-02	BAD,CALM2,CALM3,CSK,FOXO1,HRAS,IFIH1,IFIT2,IFIT3,IFNGR1,IRF3,ISG15,ISG20,MYC,NFATC2,PLAAT4,PPP3CA,RRAS,TRAF1,TRAF2	
Retinol Biosynthesis	3.89E-01		3.70E-02	AKR1C3,PNPLA2	
Class I peroxisomal membrane protein import	3.9E-01		5.00E-02	ALDH3A2	
Interleukin-12 family signaling	3.9E-01		5.00E-02	P4HB	
Mineralocorticoid Biosynthesis	3.9E-01		5.00E-02	EBP	
Receptor-type tyrosine-protein phosphatases	3.9E-01		5.00E-02	PTPRS	
Valine Degradation I	3.9E-01		5.00E-02	BCAT1	
B-WICH complex positively regulates rRNA expression	3.92E-01		3.37E-02	POLR1D,POLR2L,SMARCA5	
Th1 Pathway	3.93E-01	1.0	3.20E-02	HLA-DMA,ICAM1,IFNGR1,NFATC2	
CDX Gastrointestinal Cancer Signaling Pathway	3.98E-01	-1.6329931618554523	3.05E-02	BMP4,FZD4,HBEGF,IKBKG,NCF2,PNN	
