© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->KKH_SCpops_tagseq->MDA-MB-231_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:58 AM->matched_F_C6C8_vs_MPV_lfc
Workspace	My Projects
Project	KKH_SCpops_tagseq
Analysis	matched_F_C6C8_vs_MPV_lfc
Date	Mon Aug 10 09:59:06 PDT 2026
Analysis ID	43603595

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->KKH_SCpops_tagseq->MDA-MB-231_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:58 AM->matched_F_C6C8_vs_MPV_lfc
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Chondroitin Sulfate Biosynthesis	-0E00	-0.3779644730092272	9.46E-02	CHST11,CHST3,CHST7,CSGALNACT2,HS2ST1,HS3ST1,NDST1	
Chromatin modifications during the maternal to zygotic transition (MZT)	-0E00	0.0	5.80E-02	H2AZ2,H2BC12,H3-3B,UHRF1	
Class A/1 (Rhodopsin-like receptors)	-0E00	1.697749375254331	5.12E-02	ADORA2B,ADRB2,ANXA1,APP,C3,CCRL2,CXCL1,CXCL16,CXCL8,ECE2,EDN1,F2RL1,GPR68,HTR7,LPAR1,P2RY2,SAA1	
Co-inhibition by PD-1	-0E00		6.67E-02	HLA-DRA,PTPN11	
Co-stimulation by ICOS	-0E00		9.09E-02	PIK3CD	
Communication between Innate and Adaptive Immune Cells	-0E00	1.1547005383792517	1.49E-02	CD40,CD83,CSF2,CXCL8,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,IL1A,IL6,MR1,TLR4,TNFSF13	
Complement System	-0E00		7.69E-02	C1QBP,C3,ITGB2	
Complement cascade	-0E00		1.44E-02	C3,CLU	
Cytosolic iron-sulfur cluster assembly	-0E00		7.69E-02	MMS19	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00		1.87E-02	BID,CASP6,DFFA,HLA-A,HLA-B,HLA-C,HLA-E,MR1	
DNA methylation	-0E00	0.4472135954999579	7.94E-02	DNMT3A,H2AZ2,H2BC12,H3-3B,UHRF1	
Dendritic Cell Maturation	-0E00	1.7320508075688772	5.20E-02	ATF4,CD40,CD58,CD83,COL18A1,CREB3L2,CSF2,ELP1,GDPD5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,ICAM1,IKBKE,IKBKG,IL1A,IL32,IL6,MAPK8,MR1,NFKB1,NFKBIB,PIK3CD,PLCB3,PLCD3,PLCG1,RELB,SMPD1,STAT1,TLR4	
Dermatan Sulfate Biosynthesis	-0E00	-0.3779644730092272	9.21E-02	CHST11,CHST3,CHST7,CSGALNACT2,HS2ST1,HS3ST1,NDST1	
Digestion	-0E00		3.57E-02	PIR	
Dopamine Degradation	-0E00		7.50E-02	ALDH1B1,ALDH2,MAOA	
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	-0E00	0.4472135954999579	6.76E-02	GATAD2A,H2AZ2,H2BC12,H3-3B,TTF1	
