	f_p1_log2FoldChange	f_p1_padj	f_p2_log2FoldChange	f_p2_padj	p2_p1_log2FoldChange	p2_p1_padj	f_mpv_log2FoldChange	f_mpv_padj	category
ZNF440	-0.17888428579208596	0.30373594691852174	-0.057516172700518786	0.7883019299296854	-0.11079946465043276	0.5553707249482394	-0.10892581171446426	0.4798167171986717	conserved
N4BP2	-0.10050186538254975	0.596084915088013	-0.20274946332092333	0.2513393987292267	0.07049557959606184	0.7329609772657203	-0.14505090023752656	0.3308832835154371	conserved
OGFOD2	0.01124357470851407	0.9629241744661559	0.020623207816115006	0.9299116967017185	-0.009259001464337339	0.9727332461128269	0.01514438592568089	0.9489599105011162	conserved
LRRC8B	-0.05977329122893692	0.7782849935759877	-0.13939655851872756	0.44272096298290625	0.06716506978459107	0.7480949377738497	-0.09306169301545163	0.5572270525711313	conserved
JRKL	0.12614120474093327	0.46585368909877284	0.10978224155166004	0.5354009669094778	0.017286669447630326	0.9465937680359737	0.1207785624523318	0.4081172045019339	conserved
CGREF1	-0.1704221519871261	0.3254672575519526	-0.14554505464482848	0.4197939556058649	-0.022622539761470013	0.9307316800257672	-0.15778694350471345	0.2879632108520098	conserved
AKTIP	0.014050562008069816	0.9569941591926048	-0.03674376337910307	0.8681271336365034	0.055116361191991065	0.8002329708172482	-0.009853481521188054	0.9677846446580195	conserved
MON1B	0.049937547904650416	0.823337231221502	-0.022374025560020643	0.9239341471535056	0.08103751126303078	0.6864533799835099	0.013956858780518982	0.9544474029989669	conserved
TRMT5	0.05483127642894174	0.7939020087871848	0.13154422520909595	0.4576419007515929	-0.0666450732800012	0.7483444467351263	0.0897841282365123	0.5643452718465364	conserved
WASF3	-0.07968674569862222	0.6861967071564619	0.15226077927498852	0.393927707091407	-0.3341789701386132	0.0883699656267307	0.028069647627891235	0.886454423585133	conserved
PDK3	-0.0002893407430248684	0.9993294664188823	0.07824967707896745	0.687947303366402	-0.08404882441772829	0.6698107790908298	0.035777434042421286	0.8482473680836516	conserved
FBXO31	0.10552562401259548	0.5695952393491844	-0.09317240261603668	0.6318589267512512	0.27695909549313913	0.14354349177066456	0.009595091885915865	0.9687713201622425	conserved
FUT1	-0.1537741051201436	0.38215296327111103	-0.09070528461545117	0.6466804854398601	-0.05589885524891162	0.7973234969800613	-0.11838671730033551	0.43458554901580154	conserved
RPLP0P2	0.08973359458219209	0.633883598274156	0.044818058022175984	0.8383795564533035	0.047636808863722374	0.8320207507199884	0.06553363374167719	0.6912426749348799	conserved
DCLRE1A	-0.1548718677472008	0.37504224843700745	-0.03499909133130824	0.8732968220541125	-0.11950687606968809	0.5222616778345914	-0.08519418644709348	0.5873775369776747	conserved
C12orf4	0.029563304805340983	0.9012530998282791	-0.07291326596468536	0.7157296238027361	0.11712068621193822	0.5322872165544325	-0.017168007550616517	0.9405183272764169	conserved
FLJ32255	-0.01872752283408102	0.9425801593522685	0.12457842256249059	0.49821775778389304	-0.1617447057529201	0.36963104584490014	0.04578924460533235	0.8034131220656138	conserved
SLC7A6OS	-0.034034163558105006	0.8849164777896685	0.10279447247693392	0.5811663262366722	-0.1641007584070103	0.3637233812009085	0.02985518119792053	0.875731746049375	conserved
ELF3	-1.8705609378642702	2.7647011673332946e-08	-0.2961498198495982	0.1039351528187636	-0.8065616657900817	0.0010213935032780445	-1.2067716182407875	7.115099511393497e-05	dominant_P2
EDARADD	0.11615910291887972	0.5257706901787811	-0.051881167635061204	0.8115423446534688	0.2095360023348928	0.24018043737035621	0.029906502106179848	0.8802624322386384	conserved
SLC25A26	-0.05341753642890812	0.7984708718277375	0.08094722589051284	0.6690827021041901	-0.16810340590408462	0.3496475207204225	0.012241709287518644	0.9581970354071324	conserved
SETD4	-0.07707070347147445	0.6956183065604435	0.0827823779126033	0.6721567765268425	-0.20697181349830576	0.2572859267516752	0.0027511075596000716	0.9902032840283996	conserved
FAN1	-0.048218414763873715	0.8274010313418555	0.015851990803376206	0.9469320318077181	-0.07210525705864118	0.7256683524971541	-0.015366329601130628	0.9482119248258953	conserved
FAM102B	-0.04775119410365457	0.8129903459380456	-0.021168491470305216	0.9210219816213818	-0.030486460942790384	0.8972098665234685	-0.03268295704760077	0.8523838173489364	conserved
SNHG18	-0.05034013023401664	0.823337231221502	0.0105608233999878	0.9663355397926388	-0.06691069676720104	0.7493633067280044	-0.01892253001557129	0.9343478867419672	conserved
ESCO2	0.0005696072440915979	0.9976525155378968	0.07318487624352095	0.7102678544864567	-0.07764466117668378	0.6997425915999979	0.033997914198401646	0.8573924812723985	conserved
AMZ2P1	-0.04291285460021986	0.8519369866055337	0.015269154296053558	0.9495415916838805	-0.06442156151668754	0.7610255029503659	-0.01324468090354471	0.9562296132821868	conserved
SIRPA	-0.13494229334498456	0.4455910372470123	0.385640938989576	0.0377109629106797	-0.7948582142350961	0.00039680406601738254	0.06939927283886588	0.6815243742653958	additive
PECR	0.04900313920858567	0.820911628826461	0.03094316840151038	0.889736104300328	0.021142143066843495	0.9347884609717186	0.03866912386325581	0.8322859201460235	conserved
ARMC9	-0.009580686811207247	0.967384219076451	0.02442998425467634	0.9120263921185434	-0.0373771828350219	0.8735142952876326	0.006753774726673706	0.9762854850864183	conserved
PCGF1	0.10645423839280642	0.5675725860822186	0.010085526103000867	0.9687295241444022	0.1048537894483907	0.5830488423429031	0.05541556536522216	0.7530937359529625	conserved
USP54	0.03402354807931807	0.8881115959316006	0.04529039611761368	0.838463009849145	-0.009766461780268037	0.9709186345774973	0.03813042555965697	0.842577902983539	conserved
AGA	0.08964595325215702	0.633883598274156	0.001588241319772069	0.9960148305832129	0.09863623302452107	0.6081166055111623	0.04379494756419246	0.8068679007952594	conserved
TMEM25	-0.0696395410260188	0.7169952972725244	-0.33781195942334147	0.073161737421315	0.1920550132015787	0.2878301031102048	-0.16684241612670084	0.2512319287394759	conserved
NDUFAF5	0.08488031612812162	0.652534345150947	0.059848951745198026	0.7714906658895209	0.02759375378726712	0.9144380219498264	0.07095100980000614	0.662813934956214	conserved
PINX1	-0.060440815776630144	0.773616353861523	0.006375896915831912	0.9813017392137307	-0.0744320279510513	0.7169009271047011	-0.02540730562823687	0.8996305291934492	conserved
MB21D1	-0.14285259473884845	0.41072414356476045	-0.055819640894846485	0.7902406042452605	-0.08285053821406071	0.6760743392555383	-0.09250592356144104	0.5474576210670957	conserved
HUS1	0.02431767599303815	0.923867006201639	0.07892222418265767	0.6877600161955962	-0.053898270116907156	0.8036953861449434	0.04874638123281271	0.782710426665361	conserved
STXBP5	0.06621619845886832	0.7432167754748135	-0.011798870609825172	0.9626970104920403	0.08798996553638115	0.6564373889689382	0.026519576320212918	0.893303751230289	conserved
INADL	0.012347001997988986	0.9604068912994168	0.045757727588781154	0.8378053577832171	-0.03403927738422843	0.8895621431832906	0.02752211718418009	0.8899362291131002	conserved
FGD4	-0.018848972835740968	0.9425076777989868	0.08143141588783373	0.6826074369566133	-0.11065824598422402	0.5566697483339045	0.028109128454108755	0.887182125690762	conserved
ARHGEF35	-0.05670095574638038	0.7857446573428909	-0.041820599135161035	0.8506995194999544	-0.01766457634120504	0.9465937680359737	-0.04709518511686148	0.7901180295116149	conserved
TICAM1	0.052575877550019606	0.7993864457885553	-0.13668078204635237	0.4398367723497238	0.2512211571932742	0.17672813428674256	-0.027483146576062354	0.8841777358662964	conserved
LOC100506548	-0.04233142041489789	0.8519369866055337	-0.011786378763401766	0.9626970104920403	-0.03405331189584353	0.889289665722425	-0.025882084986497522	0.895520784896817	conserved
ZNF28	-0.04311990032291108	0.8512458671600535	-0.061624252139412944	0.7694049627547614	0.01628560862085378	0.9511953584043157	-0.049910107888006074	0.7804215787656779	conserved
BNC1	0.19262436413945236	0.2603085665108862	-0.0022883550760203113	0.9934206687889489	0.21707135037574235	0.22477097015249115	0.08345821961113828	0.6037713497763956	conserved
ADRBK2	0.329268794959323	0.0773338323009032	0.3555453022681414	0.05776569486817033	-0.008390772549828826	0.9747552182494083	0.4087591566266781	0.02207787726858315	fusion-altered
EPB41L4A-AS1	-0.1852554414976315	0.28695098770933	-0.0578569416769155	0.7847066225245953	-0.11513709721641857	0.5405582247083707	-0.11069430115247202	0.4681977657770714	conserved
COQ5	0.028662477561599665	0.9081330588334126	-0.005669719365995988	0.9815061503405415	0.03763506817427308	0.8761991814559026	0.011400813284026643	0.9629994486576933	conserved
RNF38	0.10061152529083867	0.5899982572410021	0.07209756757035099	0.7184970697372268	0.030208223389912733	0.9038097518183406	0.08540771792916838	0.5880261379327795	conserved
PIP5K1C	0.07424221319842068	0.6866150574542402	-0.000984847802146604	0.996910458751471	0.08596350360236797	0.6511144510436073	0.03560312088908901	0.842577902983539	conserved
BMPR1A	-0.025307877343941573	0.9188360101742292	0.014983725112384005	0.9498698255785898	-0.04453671488771722	0.846178658327237	-0.005172550014428704	0.9810967474626283	conserved
HPSE	0.09964431165934434	0.5994433936462755	-0.06700631300713601	0.7457924838097284	0.21397951960327932	0.23852531318769377	0.017001723523579714	0.9424821506721829	conserved
CDK14	-0.20104756867940737	0.24452288343607592	-0.043428901880781745	0.8455145245760801	-0.1479883085291809	0.4103394731302434	-0.1081457452214363	0.4829027571180623	conserved
LOC102724783	-0.06769068167816082	0.7412725974746484	0.15785496317730696	0.3794148725897663	-0.3092554538558457	0.10542576859297284	0.03437287492325689	0.8611565991419584	conserved
KCTD2	-0.08219807874572987	0.6715749122637699	-0.027802533802210573	0.9018918516795814	-0.05837721204185627	0.785651677463237	-0.05197257852614619	0.7665179854860436	conserved
GRAMD4	0.014804678859823258	0.9503817600159622	-0.007711728224074186	0.9747821698448702	0.025469780350932975	0.9174240199566684	0.0036916519089629503	0.985390588889398	conserved
LINC00467	0.2184114383202509	0.20542390787075512	0.4741767160874786	0.02767095501811085	-0.08770161900647311	0.6371127232965444	0.4360053512573132	0.02742671725553159	fusion-altered
GNB1L	-0.26138389863836625	0.14095969224450305	-0.3963674136836602	0.04563161176737113	0.046893669017867644	0.8299498471962001	-0.374712351021217	0.04332284189188839	fusion-altered
ZBTB40	0.018282666569200468	0.942592180992041	-0.09664663666817874	0.612632694079412	0.12930618150000445	0.48170848099064173	-0.03234061103339479	0.8652231657397138	conserved
CIDECP	-0.03351249928593749	0.8849164777896685	-0.04741637758955496	0.8254974350980321	0.012352631773317222	0.963412810252343	-0.03829737584407145	0.8326011194642252	conserved
MTMR3	0.04229370843089744	0.8520725432528202	0.01726219995508143	0.9426491028860049	0.028129068012791653	0.9133638721563083	0.028854788309794002	0.8826416767613072	conserved
LOC493754	-0.26311306377374455	0.14324631068784746	-0.08848406547580817	0.6473737848830303	-0.1291253031814569	0.48248220897856564	-0.1583749673985343	0.2849576283153943	conserved
FANCA	-0.0067662913036587655	0.9790922432150447	0.1072258976250182	0.5637109003531799	-0.12455034289718729	0.499715498701772	0.0449437535883183	0.8034131220656138	conserved
GZF1	-0.012723346073392854	0.9603806678547918	0.10755144520486021	0.5656452923907552	-0.13316807929862884	0.4679342067650648	0.04204743587657626	0.8204145675852147	conserved
C16orf70	-0.03629962556221285	0.8801991158773902	0.041134095932828095	0.8547227041281753	-0.08725281318356105	0.6592923058463014	0.001895692454544839	0.9934808921904829	conserved
HEATR6	0.00695323831103725	0.9775388697625107	-0.04045458870994415	0.8532711821905092	0.051493281248508195	0.8115926799103989	-0.014845926356104672	0.9488853695769877	conserved
HIC2	-0.13825997266161663	0.4358840272549919	-0.051452208408314735	0.8134356345667975	-0.08403127330746026	0.6715538768588026	-0.0889416227420734	0.5742529118727943	conserved
DENND3	-0.03245736983960912	0.8918437469098677	0.08076150109727538	0.6826074369566133	-0.13089948930997378	0.4767201265047315	0.02131270632659449	0.9220035587006344	conserved
LETM2	0.09681710676031664	0.6089267023256959	0.24129094030167889	0.1734679731613777	-0.09863821553278009	0.6087126906299403	0.16840505867605376	0.2568526238525399	conserved
MMS22L	0.07638838693853972	0.6983481045688698	0.013609372528443396	0.9568589909789016	0.06868920662500468	0.7424740186808207	0.043491741767062116	0.8105302321851571	conserved
FAM43A	0.7360006652785288	0.004011760280536667	0.062366757683896865	0.7672143954923776	0.4860564355764221	0.024944220823186432	0.304328989184937	0.06193935511442128	additive
PHRF1	0.029934644150992614	0.8985731448298329	-0.017995402571200716	0.9372596142169111	0.05368552507419549	0.8024184444824667	0.006476562815418056	0.9774718180140582	conserved
ABHD4	-0.22417485777347987	0.19676084326960097	0.04006080875735065	0.8494533794478687	-0.35961754610159263	0.07268007581828702	-0.05733971044238427	0.7239724188759267	conserved
REREP3	-0.11998854099318228	0.5101354508560454	-0.09362613499474536	0.6311019906297618	-0.026496628570973246	0.9191445211553104	-0.10420627228510583	0.5010785775178214	conserved
ZNF232	0.03414391812950729	0.8859511732032145	-0.1269978689613542	0.48682405452489247	0.19256221713600796	0.2877761000101724	-0.034968495675179255	0.8560670079217445	conserved
ATP6V0A1	-0.02752539675310747	0.9109712542610332	-0.11579498237540987	0.5260480223722194	0.08522205905938487	0.6656605258035412	-0.06437682184405187	0.6962858150316226	conserved
TMEM180	-0.35497545215338117	0.06903804384733149	-0.11447473428290207	0.5253918184374236	-0.14387350768776502	0.4271251985265657	-0.20868550515642598	0.16784662189196578	conserved
METTL17	0.09099972372003721	0.6325324597631841	0.28501909756624405	0.11408836259369551	-0.13198265475666346	0.470507388995021	0.18418102429257852	0.2166951355158239	conserved
SPATA5	0.10277588138294984	0.5536447169946519	0.025061815679760374	0.9084837217744804	0.08370441242432242	0.6591862935097244	0.06176261052192366	0.6945820954738822	conserved
CENPBD1	-0.024051465252294076	0.9253720815084053	0.03557249376868023	0.8732968220541125	-0.06497379961438599	0.7580195917983555	0.005114565299053379	0.981937821415787	conserved
JMY	-0.07358771311093398	0.7064659877051548	0.026307118361755137	0.9071932075975088	-0.11701036903004912	0.5318247471624412	-0.02120118960061093	0.9213548816610447	conserved
MEIS2	0.002454195763126881	0.9920042093989331	0.01623412452444948	0.9461853970432759	-0.014330288465975855	0.9580302260981919	0.008858502892869085	0.9715405020213239	conserved
OTUD7B	0.04900870018070942	0.8162593400206491	0.02129587912461926	0.9242450027176538	0.031627995610821434	0.8960864746384111	0.03406541237989228	0.8523914961159382	conserved
NCKIPSD	-0.06681064581489657	0.7201857701077851	-0.023583437659265762	0.9119524175333255	-0.04813384626718481	0.8211139308139314	-0.04246133808146773	0.7997426221245493	conserved
DNMT3B	0.0013716767820319538	0.9950670897003929	-0.11265362683051873	0.5470286812254676	0.12030443076646767	0.517705933648201	-0.047865230747533946	0.793513070811978	conserved
CCDC125	-0.011137631487659195	0.9636089607466729	0.08619491580073954	0.6589030660514373	-0.10616774126017516	0.5772259185801137	0.0338982153885771	0.8617178164642878	conserved
PDK1	0.04497397683601332	0.8305911106803368	0.10126579182595426	0.5629242991558211	-0.05212838633074351	0.8019113794571229	0.070683991065733	0.644330507492089	conserved
FAM25A	-0.31178404489944206	0.08896685730194558	-0.13168323434117654	0.4681972423857964	-0.11214495468447283	0.5506694547804465	-0.2109443725235248	0.16381064377209395	conserved
DAPP1	0.19878117696912606	0.23785942319647782	0.2740637578984029	0.11408836259369551	-0.035504913777859165	0.8854650861059523	0.25444034154901796	0.08626040333445767	conserved
MCTP1	0.620056711066351	0.012659833507766304	0.04983923083525401	0.8189282911320716	0.4211965067989955	0.04537359729599916	0.24733179752120796	0.11473206893521501	additive
LOC100862671	0.0951466582851894	0.6128383825590078	-0.02596214977425837	0.9096782706553674	0.14414360697673712	0.42699439887130125	0.03301062331694798	0.8628305392351772	conserved
SIRT5	0.055292066013208255	0.7957230560539553	0.030347034623455775	0.8926695812557728	0.028069126995723646	0.9134643845394593	0.04156527010946174	0.8221195882095952	conserved
RAB3B	0.15420182095886492	0.37935634573685506	0.9493777203406288	0.0002746133643705617	-0.42336172977462244	0.0405976342759847	0.5432239513870383	0.004962143829493984	dominant_P1
ACTR8	-0.11489411095930453	0.5140634446441894	-0.07503009354954973	0.6944318686470247	-0.039132501908460564	0.8682406747163276	-0.0908860051041612	0.5456760520619743	conserved
POPDC3	0.008243638859431652	0.9725973598505151	0.09691797155295735	0.605219889367565	-0.09270139647375697	0.6322648481752935	0.04839646004696208	0.7818969567682388	conserved
GMEB1	-0.02910783322957629	0.9033934374111765	0.021298249035533987	0.9258883061391947	-0.05612520902626412	0.7956468130169321	-0.0039846265682420764	0.9854816508514235	conserved
TRIM23	-0.05396049552550823	0.7903159650767378	-0.04223461002532672	0.84180486981499	-0.014602003840395455	0.9552311985692783	-0.045840846698788275	0.7889271467713979	conserved
NANP	-0.05361535929547293	0.8041138935466134	0.05577848985975866	0.7934100299680709	-0.1293279959143882	0.48170848099064173	0.0008026712151802353	0.9980906647235389	conserved
CKMT1B	-1.160705747103971	1.0375954316641725e-05	-2.1857505325352817	3.270311105040052e-18	0.7472548142936458	0.00017711857890163914	-1.7122014192922757	5.464998293251056e-13	transgressive_down
