	f_p1_log2FoldChange	f_p1_padj	f_p2_log2FoldChange	f_p2_padj	p2_p1_log2FoldChange	p2_p1_padj	f_mpv_log2FoldChange	f_mpv_padj	category
KIF27	0.21091645505763923	0.4308112649978389	0.38827933100075124	0.12609267451034356	-0.10130693278911522	0.6532050329494253	0.3318464821545837	0.14361756628639308	conserved
LOC646762	0.2312956731640698	0.38209413667664416	0.0791340252197042	0.7968797030108429	0.09336091429710344	0.6842575424101797	0.17110320957347452	0.48016140499016463	conserved
ZNF687	-0.015577876915679514	0.9674591948570783	-0.08207561274725957	0.7790898018831124	0.04558650539383613	0.85310242081497	-0.054329089123785125	0.8455524758008774	conserved
CEP85L	-0.3584876449904176	0.15654807943748886	-0.4226802039459529	0.09653526938138793	0.0320980216807246	0.9082340672440006	-0.42139056703516936	0.06991647657022185	conserved
N6AMT2	0.12574959410558878	0.6542973433926161	0.2734687579480503	0.2746926287430299	-0.09257421472637005	0.6706292136496784	0.22489759864552275	0.33089327462376306	conserved
GALK1	-0.016994743010110395	0.9658447688206273	-0.14628841231382295	0.5993504573645108	0.09232652449234405	0.6983370452993295	-0.08932638081277822	0.7466145341317276	conserved
CA13	0.255130939220803	0.32155116347355855	0.06426104933156866	0.8332276052888146	0.12613723889169434	0.5764949692514939	0.17186497062647088	0.4667879507755881	conserved
CHST7	-0.3995303585633805	0.11880068860681764	-0.3788153251478053	0.13542398557197982	-0.00571418521799941	0.9846928785630942	-0.4204704910696211	0.06991647657022185	conserved
INVS	-0.14408183957458695	0.6025580738547451	0.1236247470802894	0.6563993843622099	-0.20177316407444915	0.31896342148040874	-0.0007750443834254381	0.9981566863646911	conserved
ZNF780B	0.12147134224752307	0.6705830462504404	0.3035405113170023	0.23043758707907583	-0.11509108191736793	0.5937805753569027	0.23647880735849172	0.3072323657830449	conserved
SDSL	-0.18139058976741249	0.5071572332850832	-0.029199482258340265	0.9282061129666067	-0.10157240281838223	0.6636448673385789	-0.11042373087070909	0.6752985125326159	conserved
PNMAL1	0.09829274605320938	0.7371275077485379	0.10896583129949935	0.703848768853728	-0.011652933623938825	0.9709929169460165	0.11439957776626614	0.6570941415317915	conserved
THRA	-0.021388729434091043	0.9543913787181946	-0.12509290549425323	0.6604807175908632	0.07278618754120735	0.7650769452016754	-0.08061829210660505	0.7762864598066814	conserved
NBEAL1	-0.35265892585874087	0.165526283731246	-0.2621813884777473	0.29714116353969405	-0.04123714168173454	0.8772127995667861	-0.3311371796628221	0.14553891667579658	conserved
STK33	0.054461694083076044	0.8671364653098403	-0.055050290325308324	0.8605743915820252	0.07858384334865522	0.7552590031034864	-0.001791061799420786	0.9954349825733356	conserved
PON3	-0.8809472029815129	0.008747810299648181	-0.26373179076997	0.2758432747996517	-0.21170371853054623	0.2936188320885494	-0.5161238197878978	0.03498172826845591	fusion-altered
GPRC5C	-0.2541011819890486	0.32764650184613214	0.06715068510732525	0.8256389319675032	-0.24627985386401724	0.23344159493949923	-0.08385664672425185	0.7631839792783651	conserved
ARNTL	-0.0027784125177062772	0.9943744767981987	0.07323628399528165	0.8078609601436021	-0.05181835878672776	0.8318063634940394	0.04081203356089328	0.8868696227961061	conserved
HIRA	0.07709123755165641	0.7972197756922836	0.13154971645123947	0.6391209734795322	-0.038599341991083634	0.8835222223740392	0.11746492943479288	0.6504013424300953	conserved
TDRKH	0.1800549237378493	0.5090681160688806	-0.0003526640218205205	0.9993624369887311	0.12214069589745687	0.5770670959254499	0.09717964524265618	0.7207767542161331	conserved
FBXO4	-0.21597558234010494	0.4069873880727942	-0.13215676847181526	0.6321800527854143	-0.046158799610685974	0.855811232943794	-0.1883657838964135	0.42068687647217795	conserved
RAD51D	0.03629392778317506	0.9152256577365141	0.19242107072285008	0.4490760641248996	-0.10564367591096624	0.6136714120938767	0.13010470428833182	0.600572204145427	conserved
NHEJ1	-0.10156663742987844	0.7238821950924006	-0.004868915699231763	0.987145915014131	-0.06278904565430356	0.7948491170770584	-0.05619578778530368	0.842864391365968	conserved
RNF123	0.21722780203353254	0.4139754533599154	0.10418298999566834	0.720447952574857	0.06671599407942898	0.7881388376193327	0.178063611010935	0.4600275550502536	conserved
MXD3	-0.1013792196521855	0.7320651934978256	-0.052061598519086684	0.8688500296312471	-0.030235692261650883	0.919217765213607	-0.08333964281713668	0.7686013157349595	conserved
FOXN3-AS1	-0.5701389132596428	0.03458780830457028	-0.05784880223161685	0.8508979559572788	-0.35052212512664266	0.11269595898858581	-0.27617267815492097	0.225900710672436	conserved
ZNF566	0.10001742930592912	0.734610803458603	0.17739815964691935	0.5066386068485041	-0.05492385482056732	0.833143676534967	0.1547652766700332	0.5279496040302715	conserved
MSANTD2	0.3597191626905789	0.15747941369044852	0.09456685658739426	0.7504880782488649	0.1644588741667898	0.43674649319034364	0.24544014408619103	0.2881576987161204	conserved
C4orf21	-0.1646927887712554	0.5395581242689803	-0.0817259441296906	0.7807889420521226	-0.04901142616105752	0.844983808444533	-0.13299540385537412	0.588742348237647	conserved
MIR100HG	0.4207193741497844	0.0952453188903488	0.25063574126105853	0.32359744768176596	0.08618914994828632	0.7206287098140727	0.3727458784144139	0.09527142219955761	conserved
FAM132B	-0.24361043256853782	0.3555416797614342	0.001769214976881522	0.9958549624057408	-0.1716268625899301	0.41697051742762964	-0.12102936048383024	0.6415101555378555	conserved
LOC100506990	-0.28476279944585736	0.27092906536723976	-0.14361060081886612	0.6058763085873994	-0.08025192956922751	0.7399405233682049	-0.2284092682736751	0.3268558141556951	conserved
TCEANC2	0.11063413590852396	0.6978539929156155	-0.030732230165562372	0.9243054615825937	0.09556305279829058	0.6645006449670317	0.04333267196040899	0.8804301019719453	conserved
SEPT7P2	-0.13298650493682118	0.6279802003003648	0.06397061197044167	0.8304506802915484	-0.1378635411601991	0.49816973604970893	-0.03076502030869708	0.9137677707811656	conserved
LINC00883	0.09145225529185048	0.7599234611538678	0.17620422582471137	0.5098318638835726	-0.059497087927041614	0.816183939175328	0.14948474081939242	0.5441816327007843	conserved
