image_name,cell_number,slide_alpha,cell_slide_replicate,count,notes,clone,week,,,,,,,,,,,,,,,,,,,,
02_2_22_15cell.b.1.tif,15,b,1,88,or +6=94 is counting side chromosomes,1806_15,0,,,,,,,,,,,,,,,,,,,,
02_2_22_15cell.b.2.tif,15,b,2,53,,1806_15,0,,,,,,,,,,,,,,,,,,,,
02_2_22_15cell.b.3.tif,15,b,3,92,5 ecDNA,1806_15,0,,,,,,,,,,,,,,,,,,,,
02_2_22_15cell.c.1.tif,15,c,1,84,or +6=90 if counting side chromosomes,1806_15,0,,,,,,,,,,,,,,,,,,,,
02_2_22_15cell.c.2.tif,15,c,2,82,,1806_15,0,,,,,,,,,,,,,,,,,,,,
02_2_22_15cell.c.3.tif,15,c,3,52,,1806_15,0,,,,,,,,,,,,,,,,,,,,
02_2_22_16cell.a.1.tif,16,a,1,87,,1806_16,0,,,,,,,,,,,,,,,,,,,,
02_2_22_16cell.a.2.tif,16,a,2,83,,1806_16,0,,,,,,,,,,,,,,,,,,,,
02_2_22_16cell.a.3.tif,16,a,3,68,,1806_16,0,,,,,,,,,,,,,,,,,,,,
02_2_22_16cell.b.1.tif,16,b,1,,,1806_16,0,,,,,,,,,,,,,,,,,,,,
02_2_22_16cell.b.2.tif,16,b,2,,,1806_16,0,,,,,,,,,,,,,,,,,,,,
02_2_22_16cell.b.3.tif,16,b,3,89,,1806_16,0,,,,,,,,,,,,,,,,,,,,
02_2_22_16cell.c.1.tif,16,c,1,95,,1806_16,0,,,,,,,,,,,,,,,,,,,,
02_2_22_16cell.c.2.tif,16,c,2,90,,1806_16,0,,,,,,,,,,,,,,,,,,,,
02_2_22_16cell.c.3.tif,16,c,3,,,1806_16,0,,,,,,,,,,,,,,,,,,,,
02_2_22_17cell.a.1.tif,17,a,1,90,,1806_17,0,,,,,,,,,,,,,,,,,,,,
02_2_22_17cell.a.2.tif,17,a,2,86,,1806_17,0,,,,,,,,,,,,,,,,,,,,
02_2_22_17cell.a.3.tif,17,a,3,95,,1806_17,0,,,,,,,,,,,,,,,,,,,,
02_2_22_17cell.b.1.tif,17,b,1,89,,1806_17,0,,,,,,,,,,,,,,,,,,,,
02_2_22_17cell.b.2.tif,17,b,2,81,,1806_17,0,,,,,,,,,,,,,,,,,,,,
02_2_22_17cell.b.3.tif,17,b,3,,,1806_17,0,,,,,,,,,,,,,,,,,,,,
02_2_22_17cell.c.1.tif,17,c,1,43,,1806_17,0,,,,,,,,,,,,,,,,,,,,
02_2_22_17cell.c.2.tif,17,c,2,,,1806_17,0,,,,,,,,,,,,,,,,,,,,
02_2_22_18cell.a.1.tif,18,a,1,20,,1806_18,0,,,,,,,,,,,,,,,,,,,,
02_2_22_18cell.a.2.tif,18,a,2,,,1806_18,0,,,,,,,,,,,,,,,,,,,,
02_2_22_18cell.a.3.tif,18,a,3,18,,1806_18,0,,,,,,,,,,,,,,,,,,,,
02_2_22_18cell.a.4.tif,18,a,4,58,,1806_18,0,,,,,,,,,,,,,,,,,,,,
02_2_22_18cell.b.1.tif,18,b,1,,,1806_18,0,,,,,,,,,,,,,,,,,,,,
02_2_22_18cell.b.2.tif,18,b,2,,,1806_18,0,,,,,,,,,,,,,,,,,,,,
02_2_22_18cell.b.3.tif,18,b,3,15,,1806_18,0,,,,,,,,,,,,,,,,,,,,
02_2_22_18cell.b.4.tif,18,b,4,40,,1806_18,0,,,,,,,,,,,,,,,,,,,,
02_2_22_19cell.b.1.tif,19,b,1,,,1806_19,0,,,,,,,,,,,,,,,,,,,,
02_2_22_19cell.b.2.tif,19,b,2,46,,1806_19,0,,,,,,,,,,,,,,,,,,,,
02_2_22_19cell.b.3.tif,19,b,3,7,,1806_19,0,,,,,,,,,,,,,,,,,,,,
02_2_22_19cell.b.4.tif,19,b,4,19,"chromosomes nearby again that don't appear to be part of spread, didn't count",1806_19,0,,,,,,,,,,,,,,,,,,,,
02_2_22_19cell.c.1.tif,19,c,1,25,,1806_19,0,,,,,,,,,,,,,,,,,,,,
02_2_22_19cell.c.2.tif,19,c,2,,,1806_19,0,,,,,,,,,,,,,,,,,,,,
02_2_22_19cell.c.3.tif,19,c,3,39,,1806_19,0,,,,,,,,,,,,,,,,,,,,
